Year,Month,Day,Date,Site,start_time,end_time,Species,n,Family,Notes,lat,lon
2015,April,13,2015-04-13,Castro Crest,11:55,13:50,Vanessa cardui,5,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,acmon/lupini,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Adelpha californica,2,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Apodemia virgulti,1,Riodinidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Callophrys augustinus,4,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Euphydryas chalcedona,43,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Leptotes marina,10,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Lycaena arota,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Ochlodes agricola,15,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Pontia protodice,2,Pieridae,NA,34.084699111624325,-118.76902113010007
2015,May,4,2015-05-04,Castro Crest,11:05,13:00,Satyrium saepium,20,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,acmon/lupini,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Adelpha californica,1,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Callophrys augustinus,6,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Celastrina ladon,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Erynnis funeralis,1,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Euphydryas chalcedona,16,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Heliopetes ericetorum,1,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Leptotes marina,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Ochlodes agricola,2,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Papilio eurymedon,1,Papilionoidea,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Poanes melane,3,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Satyrium californica,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,May,28,2015-05-28,Castro Crest,14:05,15:55,Satyrium saepium,1,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Adelpha californica,4,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Coenonympha tullia,1,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Erynnis funeralis,2,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Heliopetes ericetorum,2,Hesperiidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Lycaena arota,3,Lyceanidae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Nathalis iole,1,Pieridae,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Papilio eurymedon,2,Papilionoidea,NA,34.084699111624325,-118.76902113010007
2015,June,16,2015-06-16,Castro Crest,12:15,13:40,Pontia beckeri,1,Pieridae,NA,34.084699111624325,-118.76902113010007
2015,July,10,2015-07-10,Castro Crest,13:00,14:10,Adelpha californica,2,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,July,10,2015-07-10,Castro Crest,13:00,14:10,Coenonympha tullia,1,Nymphalidae,NA,34.084699111624325,-118.76902113010007
2015,July,10,2015-07-10,Castro Crest,13:00,14:10,Heliopetes ericetorum,3,Hesperiidae,NA,34.084699111624325,-118.76902113010007
